,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,SALES_PRICE
617,Anna Nagar,1656,2008-08-25,56,1,1,4,AbNormal,1,1991-08-30,Others,NoSewr,Gravel,RM,14920370
618,T Nagar,1676,2014-04-01,127,1,1,4,Family,1,2003-07-01,House,AllPub,Paved,RL,12961070
619,Chrompet,856,2010-02-01,133,1,1,3,AdjLand,0,1979-10-01,House,NoSeWa,Gravel,RL,8191250
620,Velachery,1663,2007-07-22,1,2,1,4,AdjLand,1,1996-07-24,Commercial,AllPub,NoAccess,RH,14684370
621,Anna Nagar,1905,2010-06-23,182,2,1,5,AdjLand,1,1980-06-30,House,ELO,Paved,RH,13152750
622,Karapakkam,861,2011-02-09,195,1,1,2,AdjLand,1,2004-03-09,Others,NoSewr,Paved,RL,8245625
623,Chrompet,1183,2012-06-02,105,1,1,3,Normal Sale,1,1982-02-13,Others,NoSeWa,Paved,RH,9627210
624,Karapakkam,1352,2011-01-12,171,2,2,4,AbNormal,1,1968-11-12,Commercial,NoSeWa,Gravel,I,10937250
625,Anna Nagar,1510,2011-08-15,196,1,1,4,Normal Sale,0,1972-08-24,Others,NoSeWa,Paved,RH,10975430
626,Chrompet,987,2008-11-19,163,1,1,3,Partial,1,1989-11-24,Others,NoSewr,Paved,RM,9963440
627,Karapakkam,1245,2011-02-09,198,1,1,3,AbNormal,1,1995-06-09,Others,AllPub,Paved,I,7830375
628,Chrompet,1144,2012-11-09,140,1,1,3,Family,0,2000-09-14,House,NoSeWa,NoAccess,RH,7464800
629,Chrompet,790,2011-07-27,28,1,1,2,Family,0,1977-04-08,House,NoSewr,Paved,RL,6846100
630,KK Nagar,1736,2009-08-20,91,2,1,4,Partial,1,1986-08-26,Others,NoSeWa,Paved,RM,11252380
631,Velachery,1950,2011-07-04,149,3,2,5,AbNormal,1,1966-04-18,House,NoSeWa,Gravel,RL,11266200
632,KK Nagar,2186,2011-05-14,48,3,2,5,AbNormal,1,1993-05-18,Commercial,NoSeWa,Paved,RL,17733960
633,Adyar,843,2012-01-17,68,1,1,3,Normal Sale,0,1986-01-23,House,ELO,Paved,RM,8335390
634,Adyar,1022,2008-12-28,129,1,1,3,AdjLand,0,1998-12-31,House,NoSewr,Gravel,RH,9036250
635,KK Nagar,2397,2012-01-26,175,4,2,6,Normal Sale,0,1987-01-02,Others,NoSewr,Paved,RH,11770840
636,Chrompet,1083,2007-07-01,31,1,1,3,Partial,0,1974-01-15,Others,ELO,Gravel,RM,9519460
637,Adyar,923,2011-06-11,9,1,1,3,AbNormal,0,1977-11-14,Commercial,ELO,NoAccess,C,8984810
638,Anna Nagar,1958,2011-01-20,141,2,1,5,Family,1,1986-01-26,Commercial,AllPub,Paved,RM,22744800
639,Adyar,631,2011-03-04,91,1,1,2,Partial,1,1989-08-04,House,NoSeWa,Gravel,RL,8141330
640,Anna Nagar,1829,2007-06-12,121,2,1,5,Normal Sale,0,1972-12-14,Commercial,ELO,NoAccess,RM,19806350
641,KK Nagar,2228,2011-11-23,7,4,2,6,AdjLand,0,1988-11-28,House,NoSewr,Paved,RM,11966860
642,Anna Nagar,1969,2007-01-06,102,2,1,5,AdjLand,1,1986-06-06,Others,ELO,Gravel,RH,15342740
643,Chrompet,1128,2008-07-08,100,1,1,3,Family,0,1995-11-08,Others,AllPub,Gravel,RL,9985710
644,Adyar,922,2010-04-29,40,1,1,3,AbNormal,0,1973-08-05,Others,ELO,Paved,C,6442655
645,Chrompet,1141,2010-02-28,178,1,1,3,AdjLand,1,1994-04-03,Commercial,AllPub,Paved,RH,13883800
646,Velachery,1537,2006-03-19,89,2,1,4,AbNormal,0,1997-03-21,House,AllPub,Gravel,RL,9920630
647,Adyar,720,2008-07-29,192,1,1,2,AdjLand,1,1985-04-08,Commercial,ELO,Paved,RL,11427045
648,KK Nagar,2175,2011-06-15,27,3,2,5,Normal Sale,0,2003-06-17,Others,NoSeWa,Paved,RL,11790660
649,Adyar,1152,2008-10-19,183,1,1,3,AdjLand,1,1998-10-22,Others,NoSeWa,NoAccess,A,8235750
650,KK Nagar,2278,2009-06-04,54,4,2,6,AdjLand,1,1992-10-04,House,NoSewr,Paved,RL,12527740
651,KK Nagar,2460,2009-11-21,51,4,2,6,Partial,1,2002-11-23,Commercial,NoSewr,Paved,RL,19389140
652,Velachery,1940,2007-02-11,34,3,2,5,Normal Sale,1,1988-06-11,Commercial,AllPub,Gravel,RL,17797530
653,Karapakkam,693,2010-03-23,38,1,1,2,AbNormal,0,1981-03-30,Others,NoSewr,Paved,I,4680125
654,Chrompet,966,2014-04-05,2,1,1,3,Normal Sale,0,2009-05-05,House,AllPub,Gravel,RL,8952550
655,Adyar,898,2011-05-16,4,1,1,3,AbNormal,1,1999-05-19,House,NoSeWa,Paved,RL,9350380
656,Adyar,918,2010-12-24,75,1,1,3,AbNormal,0,1975-02-01,Commercial,AllPub,Gravel,A,9876540
657,Anna Nagar,1918,2011-12-15,188,2,1,5,Normal Sale,0,1996-12-18,Commercial,ELO,NoAccess,RH,19609850
658,KK Nagar,2333,2011-02-01,193,4,2,6,Normal Sale,0,1996-06-01,Commercial,NoSeWa,Paved,RH,17171100
659,Karapakkam,768,2010-03-19,49,1,1,2,AbNormal,1,1982-03-26,House,ELO,Paved,C,4855000
660,Chrompet,783,2013-06-27,188,1,1,2,Partial,1,2000-06-30,Others,AllPub,Gravel,RL,9165460
661,Anna Nagar,1661,2014-06-02,131,1,1,4,AbNormal,0,1986-02-13,House,AllPub,Paved,RM,12356960
662,Chrompet,958,2015-03-02,88,1,1,3,AbNormal,1,1981-11-02,Commercial,AllPub,Paved,RL,12473300
663,Adyar,1276,2009-05-21,82,2,2,4,Partial,0,1997-05-24,Commercial,NoSewr,NoAccess,I,12858080
664,KK Nagar,1877,2009-04-30,47,3,2,5,Normal Sale,1,1986-06-05,Commercial,AllPub,Paved,RH,15665660
665,Anna Nagar,1845,2015-10-01,159,2,1,5,Partial,1,1971-01-21,House,ELO,NoAccess,RL,12053080
666,KK Nagar,1533,2010-03-22,61,2,1,4,AdjLand,1,1990-03-27,House,NoSeWa,Paved,RH,9357800
667,Chrompet,1257,2012-04-29,108,2,1,4,AdjLand,1,2007-01-05,Others,AllPub,Gravel,RM,12851040
668,Karapakkam,1353,2010-02-18,128,2,2,4,Normal Sale,1,1979-02-26,House,NoSewr,Gravel,RL,9109750
669,Velachery,1672,2007-12-03,190,2,1,4,AbNormal,1,1963-03-23,House,NoSeWa,Paved,A,7512030
670,Chrompet,1097,2007-11-02,31,1,1,3,Normal Sale,1,1992-02-15,Commercial,AllPub,NoAccess,RH,12764450
671,KK Nagar,1986,2011-04-07,9,3,2,5,Family,1,1991-09-07,House,NoSewr,Paved,RH,10509200
672,Chrompet,1083,2007-11-05,176,1,1,3,AbNormal,0,1980-05-17,House,NoSewr,NoAccess,RH,7155650
673,Chrompet,1218,2011-02-06,163,2,1,4,Family,1,1976-10-06,Commercial,ELO,NoAccess,RH,12919650
674,T Nagar,1903,2010-03-05,5,2,1,5,Normal Sale,0,1982-10-05,Others,NoSeWa,NoAccess,RM,13953400
675,Chrompet,860,2008-09-28,103,1,1,3,Family,1,2002-09-30,Commercial,NoSeWa,Gravel,RL,12370100
676,Karapakkam,1003,2010-03-05,92,1,1,3,AdjLand,0,1979-11-05,Commercial,NoSewr,NoAccess,A,6329250
677,Chrompet,1078,2014-03-29,29,1,1,3,Family,1,1986-05-04,Commercial,AllPub,NoAccess,RL,12846400
678,Chrompet,1133,2013-05-04,198,1,1,3,AbNormal,1,1990-11-04,Others,AllPub,NoAccess,RL,9728460
679,KK Nagar,1494,2008-08-10,157,2,1,4,AbNormal,0,1984-10-14,House,AllPub,Paved,RM,9354680
680,Adyar,626,2006-11-19,27,1,1,2,AdjLand,0,1974-11-27,Others,AllPub,Gravel,RL,8173180
681,Chrompet,719,2009-08-24,82,1,1,2,AdjLand,0,1972-02-09,House,ELO,Paved,RM,7352150
682,Karapakkam,921,2012-03-25,121,1,1,3,AdjLand,1,1979-03-04,Others,AllPub,NoAccess,C,5655625
683,T Nagar,1867,2012-01-15,135,2,1,5,AbNormal,1,2004-01-17,Commercial,AllPub,Paved,RL,21988560
684,Chrompet,1010,2007-01-24,23,1,1,3,Family,0,1971-02-02,House,NoSeWa,Gravel,RM,8867600
685,Karapakkam,1404,2010-12-09,66,2,2,4,Family,0,1997-09-15,House,ELO,Gravel,C,6569750
686,Karapakkam,1305,2011-10-22,140,1,1,3,AdjLand,0,1973-10-31,Others,NoSeWa,NoAccess,RH,6602375
687,Karapakkam,1647,2010-03-16,127,2,2,4,Family,1,1995-03-20,Others,AllPub,NoAccess,RM,10239375
688,Karapakkam,1433,2010-01-22,85,2,2,4,AdjLand,1,2004-01-24,Others,ELO,NoAccess,RM,9831375
689,Chrompet,925,2007-09-27,186,1,1,3,Normal Sale,0,1978-04-10,Others,ELO,Gravel,RM,9151000
690,Chrompet,964,2012-10-10,166,1,1,3,Partial,1,2004-12-10,Others,NoSewr,Paved,RM,10066680
691,Karapakkam,571,2011-03-31,122,1,1,2,AdjLand,0,1989-05-04,Commercial,NoSewr,Paved,RM,7899500
692,Anna Nagar,1828,2011-06-24,23,2,1,5,Normal Sale,0,1977-02-07,Others,AllPub,NoAccess,RH,12251920
693,Karapakkam,1595,2010-03-05,131,2,2,4,Normal Sale,1,1969-05-13,Others,NoSeWa,NoAccess,RM,9495375
694,Adyar,615,2008-09-18,98,1,1,2,AdjLand,1,1980-09-25,Others,ELO,Gravel,I,7700720
695,Chrompet,919,2012-06-08,42,1,1,3,AdjLand,1,1974-08-16,Commercial,NoSewr,Paved,RL,12217100
696,Chrompet,1018,2009-09-06,30,1,1,3,AdjLand,1,1976-06-17,Others,AllPub,Gravel,RM,11139610
697,T Nagar,1578,2013-02-15,64,1,1,4,Family,0,1980-02-24,Commercial,NoSewr,NoAccess,RM,17623460
698,T Nagar,1660,2012-10-08,134,1,1,4,AbNormal,0,1996-08-14,Others,AllPub,Paved,RM,13603120
699,Chrompet,796,2011-04-07,191,1,1,2,AdjLand,1,1972-07-13,Commercial,ELO,Gravel,RL,11578050
700,KK Nagar,2416,2009-11-10,111,4,2,6,AdjLand,0,1989-10-16,Others,NoSewr,Paved,RL,12966920
701,Chrompet,760,2010-01-27,73,1,1,2,AbNormal,1,1994-01-31,Others,NoSeWa,NoAccess,RM,8519200
702,Velachery,1767,2009-10-29,174,2,1,4,Family,0,1986-04-11,Commercial,AllPub,NoAccess,I,13025260
703,Chrompet,817,2011-07-22,97,1,1,3,Normal Sale,1,1991-07-27,House,NoSeWa,NoAccess,RL,7824600
704,Adyar,630,2010-05-30,77,1,1,2,AdjLand,1,2001-01-06,House,NoSewr,Paved,RL,8547835
705,Adyar,833,2008-05-27,130,1,1,3,Partial,0,1998-05-30,Commercial,AllPub,NoAccess,RM,11165950
706,Chrompet,740,2007-09-05,21,1,1,2,Partial,0,2003-10-05,Commercial,NoSeWa,NoAccess,RL,9263000
707,KK Nagar,1520,2011-05-25,147,2,1,4,Family,0,1996-05-28,Commercial,NoSewr,Gravel,RL,13560300
708,Chrompet,769,2011-09-23,151,1,1,2,Partial,0,1977-01-10,House,ELO,Gravel,RH,6298700
709,Anna Nagar,1638,2012-10-07,15,1,1,4,AdjLand,1,1985-07-17,House,NoSeWa,NoAccess,RM,12727790
710,Velachery,1857,2006-06-09,14,3,2,5,AbNormal,1,1998-08-09,Commercial,NoSewr,NoAccess,RL,16185010
711,Karapakkam,924,2010-02-05,181,1,1,3,AdjLand,1,1976-10-05,Others,AllPub,Gravel,RM,9114000
712,Adyar,600,2008-05-08,96,1,1,2,Normal Sale,1,1991-10-08,Others,ELO,NoAccess,RH,6826655
713,Velachery,1964,2010-02-11,187,3,2,5,AbNormal,0,1966-11-13,House,AllPub,Gravel,I,9329030
714,Anna Nagar,1914,2011-01-23,66,2,1,5,Partial,1,1978-01-31,House,ELO,Gravel,RL,13596110
715,Anna Nagar,1678,2010-08-19,31,1,1,4,Normal Sale,1,1993-08-23,Others,NoSeWa,NoAccess,RL,13253630
716,Karapakkam,758,2010-11-02,43,1,1,2,AdjLand,1,1972-02-21,House,NoSewr,Gravel,RH,6988500
717,Karapakkam,1110,2012-01-31,157,1,1,3,Normal Sale,0,1988-06-02,Others,AllPub,NoAccess,RL,6847250
718,Velachery,1782,2011-06-04,88,2,1,4,Normal Sale,1,2004-07-04,Others,NoSewr,NoAccess,RM,11671340
719,Adyar,1282,2008-01-03,63,2,2,4,AbNormal,1,1970-11-03,Others,NoSewr,Gravel,A,9202070
720,Chrompet,913,2012-06-21,77,1,1,3,Normal Sale,1,1978-06-30,House,ELO,Gravel,RM,9464900
721,Velachery,1545,2010-03-19,70,2,1,4,Family,0,1991-03-24,Others,ELO,Paved,I,8308730
722,Chrompet,971,2008-03-11,91,1,1,3,Partial,0,1989-08-11,Commercial,NoSewr,Gravel,RL,12038850
723,Adyar,605,2008-06-19,60,1,1,2,AbNormal,1,1981-06-26,Others,NoSewr,NoAccess,C,5722305
724,Chrompet,1014,2006-10-26,83,1,1,3,AdjLand,1,1971-04-11,House,NoSewr,Paved,RL,9176650
725,Chrompet,982,2007-02-23,79,1,1,3,Partial,0,1997-02-25,Commercial,ELO,Gravel,RM,12775700
726,Velachery,1651,2012-03-29,100,2,1,4,Family,1,1996-02-04,Commercial,AllPub,Paved,C,13637220
727,Karapakkam,1288,2011-09-25,133,1,1,3,Partial,0,1968-05-10,House,NoSewr,NoAccess,I,4936250
728,Velachery,1661,2004-01-31,83,2,1,4,Partial,1,1976-07-02,Others,NoSewr,NoAccess,RM,10555860
729,Velachery,1578,2011-01-22,68,2,1,4,Family,1,1982-01-29,Others,ELO,NoAccess,RL,9708030
730,KK Nagar,1937,2010-11-11,4,3,2,5,Family,1,2004-12-11,Others,AllPub,Paved,RM,12782260
731,Karapakkam,1403,2010-07-14,74,2,2,4,Partial,0,1966-07-25,House,NoSewr,NoAccess,I,5402500
732,Adyar,968,2008-08-09,49,1,1,3,AdjLand,1,1971-09-18,Others,ELO,Gravel,RL,10521855
733,Karapakkam,1628,2012-07-02,185,2,2,4,Normal Sale,0,1968-02-18,Others,NoSeWa,Gravel,C,7150500
734,Adyar,1287,2009-04-13,18,2,2,4,Family,1,1995-04-17,Commercial,AllPub,Paved,C,14116310
735,Karapakkam,1438,2010-02-05,77,2,2,4,AbNormal,0,1972-11-05,Others,ELO,NoAccess,RH,6717750
736,Karapakkam,1351,2009-09-14,95,2,2,4,Partial,1,1965-09-25,Others,AllPub,NoAccess,C,6194125
737,Chrompet,956,2009-04-06,16,1,1,3,AdjLand,1,1990-09-06,House,AllPub,Gravel,RL,9899250
738,Adyar,1177,2007-08-18,47,1,1,3,AdjLand,1,2000-08-19,House,ELO,Gravel,RH,10664405
739,Chrompet,774,2011-06-24,113,1,1,2,Partial,0,1980-01-07,House,ELO,Paved,RH,5899450
740,Karapakkam,1207,2010-03-07,145,1,1,3,Family,0,1977-11-07,House,AllPub,NoAccess,RH,5962250
741,KK Nagar,1561,2010-11-12,70,2,1,4,AbNormal,0,2004-12-12,Commercial,NoSeWa,Paved,RL,13489720
742,Karapakkam,1156,2010-08-22,46,1,1,3,AdjLand,0,2003-08-24,Commercial,AllPub,Gravel,I,10056250
743,KK Nagar,1852,2010-10-29,11,3,2,5,Family,0,1997-01-11,Commercial,NoSewr,Paved,RM,15592460
744,Chrompet,1190,2007-10-01,56,1,1,3,AbNormal,0,1974-01-18,Commercial,AllPub,Paved,RH,12631750
745,Velachery,1823,2007-02-15,200,3,2,5,AdjLand,1,1963-02-26,House,NoSewr,Gravel,I,10249680
746,Velachery,1527,2012-09-02,176,2,1,4,Partial,0,2000-12-02,Others,NoSewr,Paved,C,7738440
747,Karapakkam,581,2009-10-10,128,1,1,2,Family,1,1997-10-13,Commercial,ELO,Gravel,I,7238000
748,Karapakkam,519,2009-03-10,13,1,1,2,Partial,1,1989-08-10,Commercial,NoSeWa,NoAccess,RL,6802000
749,Karapakkam,1290,2010-11-03,149,1,1,3,Normal Sale,1,1983-03-18,House,ELO,Gravel,RM,9433250
750,Chrompet,1274,2007-01-09,10,2,1,4,Normal Sale,1,1996-03-09,House,ELO,NoAccess,RH,9173450
751,Chrompet,1041,2010-11-23,198,1,1,3,Family,1,1970-03-12,Commercial,NoSewr,Gravel,RM,13919200
752,Karapakkam,908,2011-05-14,46,1,1,3,AbNormal,0,1967-05-25,House,AllPub,Paved,C,4343000
753,Karapakkam,1525,2010-02-26,27,2,2,4,AdjLand,1,2003-02-28,Commercial,AllPub,Paved,I,12420250
754,Velachery,1984,2006-08-26,102,3,2,5,Family,0,1956-07-09,Others,AllPub,NoAccess,RL,10169600
755,Karapakkam,1537,2010-10-03,65,2,2,4,AdjLand,0,1982-03-17,Commercial,ELO,Paved,RL,12075000
756,Velachery,1806,2004-04-02,71,3,2,5,Partial,1,1963-02-14,House,AllPub,Paved,RM,10885120
757,Adyar,1152,2009-02-20,75,1,1,3,AbNormal,0,1997-02-23,Others,NoSeWa,NoAccess,RM,9863280
758,Chrompet,1288,2010-04-04,190,2,1,4,Partial,1,1980-11-04,Commercial,NoSeWa,Gravel,RM,15733300
759,Karapakkam,730,2011-08-11,9,1,1,2,Family,0,1965-11-19,Commercial,ELO,Paved,C,5198500
760,Velachery,1730,2005-12-20,162,2,1,4,Family,0,1979-12-27,Others,NoSewr,Paved,RM,10616020
761,Chrompet,845,2014-11-12,101,1,1,3,Family,0,1991-12-17,Commercial,NoSewr,Paved,RL,10673850
762,Velachery,1776,2009-09-28,136,2,1,4,Family,0,1998-01-10,Commercial,ELO,Gravel,RH,14834920
763,Chrompet,913,2009-12-26,200,1,1,3,AbNormal,1,1990-12-31,Commercial,NoSewr,Paved,RM,12893050
764,Chrompet,1124,2008-12-12,141,1,1,3,Normal Sale,0,1968-12-22,Others,NoSewr,Paved,RH,8243880
765,Karapakkam,766,2011-02-18,152,1,1,2,Partial,0,1967-01-03,Commercial,NoSeWa,NoAccess,C,4733000
766,Karapakkam,665,2010-03-26,190,1,1,2,AbNormal,0,1994-03-30,Commercial,NoSeWa,Paved,RH,6767000
767,Chrompet,762,2010-04-24,149,1,1,2,Family,0,1970-04-05,Others,AllPub,NoAccess,RH,6000540
768,Velachery,1833,2011-06-05,190,3,2,5,Normal Sale,1,2003-08-05,House,ELO,Gravel,RH,10922160
769,Chrompet,944,2012-02-05,132,1,1,3,Family,0,2002-05-05,Commercial,NoSewr,Paved,RL,11663500
770,Anna Nagar,1754,2012-07-10,118,1,1,4,Family,0,1967-10-19,Others,NoSewr,Paved,RH,11960070
771,Chrompet,875,2013-01-02,39,1,1,3,AbNormal,1,1995-06-02,Commercial,NoSewr,Paved,RL,11953500
772,Karapakkam,1392,2012-01-26,33,2,2,4,AdjLand,1,1969-05-02,House,NoSeWa,NoAccess,RM,8539250
773,T Nagar,1853,2008-04-12,158,2,1,5,Family,1,1996-07-12,House,NoSeWa,NoAccess,RM,13552840
774,Velachery,1576,2012-03-13,185,2,1,4,Normal Sale,1,1981-03-21,House,NoSeWa,Gravel,RM,10931870
775,Chrompet,1022,2013-06-27,0,1,1,3,Partial,1,2001-06-30,Commercial,NoSeWa,Paved,RL,12907200
776,Anna Nagar,1640,2010-06-26,132,1,1,4,Normal Sale,0,1977-04-07,House,NoSeWa,NoAccess,RL,10649060
777,Chrompet,779,2011-07-26,24,1,1,2,Partial,1,1986-01-08,Others,NoSeWa,Paved,RL,8197980
778,Velachery,1729,2011-09-19,92,2,1,4,AbNormal,1,1966-09-30,Others,NoSewr,Gravel,RM,11956550
779,Chrompet,715,2009-07-28,129,1,1,2,Family,1,1974-06-08,Commercial,AllPub,Gravel,RH,10283850
780,Anna Nagar,1562,2014-10-10,161,1,1,4,AdjLand,1,1970-10-21,Commercial,NoSeWa,NoAccess,RH,17314380
781,Karapakkam,1203,2009-07-28,36,1,1,3,Partial,1,1966-08-08,Others,ELO,Gravel,C,6619875
782,KK Nagar,1825,2010-03-30,155,3,2,5,AdjLand,0,1982-06-04,Others,AllPub,Gravel,RH,10783060
783,Velachery,1707,2012-03-03,48,2,1,4,Family,0,1977-12-03,House,AllPub,Gravel,RH,9125100
784,Adyar,998,2009-11-09,140,1,1,3,Partial,1,1992-09-15,Others,NoSeWa,Gravel,A,7857455
785,Karapakkam,1675,2010-06-05,34,2,2,4,Normal Sale,1,1982-05-13,House,AllPub,NoAccess,RH,8297500
786,Anna Nagar,1792,2014-04-03,156,1,1,4,Family,0,2003-07-03,Commercial,ELO,Gravel,RM,20697270
787,Anna Nagar,1574,2011-10-16,54,1,1,4,Partial,1,1992-10-20,House,NoSeWa,Gravel,RH,11772480
788,Karapakkam,1070,2010-01-13,67,1,1,3,Family,1,1980-01-21,Commercial,NoSewr,Gravel,I,9727500
789,Chrompet,1125,2013-04-13,156,1,1,3,Normal Sale,0,1977-04-22,Commercial,ELO,Gravel,RH,12401000
790,Velachery,1971,2004-04-26,12,3,2,5,Family,1,1971-05-05,Commercial,NoSewr,NoAccess,C,14616160
791,KK Nagar,1361,2010-04-16,93,2,1,4,Family,0,2003-04-18,House,NoSeWa,Paved,RM,8976940
792,KK Nagar,1786,2010-09-11,74,3,2,5,Family,0,1986-11-15,House,NoSewr,Gravel,RL,9960280
793,Karapakkam,612,2009-07-21,32,1,1,2,Normal Sale,1,1984-07-27,Commercial,AllPub,NoAccess,A,5315750
794,T Nagar,1596,2007-12-27,154,1,1,4,AdjLand,0,1988-01-01,House,NoSeWa,Paved,RH,11262600
795,Anna Nagar,1644,2007-09-11,66,1,1,4,Normal Sale,0,1987-11-14,Others,AllPub,NoAccess,RH,11681720
796,Adyar,1041,2007-04-18,78,1,1,3,AdjLand,0,1985-04-23,Commercial,ELO,Paved,A,10646530
797,Chrompet,810,2009-04-21,24,1,1,3,Partial,0,1980-04-28,Commercial,ELO,Paved,RH,9352750
798,Chrompet,837,2010-03-25,117,1,1,3,AdjLand,0,2004-03-26,Others,NoSewr,NoAccess,RM,8582390
799,T Nagar,1884,2014-10-13,181,2,1,5,AbNormal,1,1999-10-17,House,AllPub,NoAccess,RM,14049650
800,Chrompet,1063,2011-01-20,187,1,1,3,AdjLand,1,1981-01-27,Others,ELO,NoAccess,RL,9253010
801,Karapakkam,1298,2011-08-23,69,1,1,3,Family,0,1992-08-27,Others,NoSewr,Paved,I,6686000
802,Anna Nagar,1867,2010-04-23,149,2,1,5,AbNormal,0,1965-04-05,House,NoSeWa,NoAccess,RH,10721350
803,T Nagar,1575,2008-06-11,172,1,1,4,Partial,0,1965-11-17,House,NoSewr,NoAccess,RL,10002210
804,Karapakkam,1463,2010-08-05,74,2,2,4,Normal Sale,1,1981-05-15,Others,NoSeWa,Gravel,C,8110875
805,Karapakkam,1164,2011-11-14,0,1,1,3,AbNormal,1,1988-11-19,Others,NoSeWa,NoAccess,RM,8381750
806,Anna Nagar,1805,2011-01-16,149,2,1,5,Normal Sale,0,1989-01-21,Commercial,NoSeWa,Paved,RM,20438790
807,Adyar,733,2010-01-22,190,1,1,2,AbNormal,0,1974-01-31,Others,ELO,NoAccess,C,4886840
808,Adyar,1197,2010-09-21,76,1,1,3,AdjLand,1,1996-09-24,Others,AllPub,Paved,C,9905510
809,KK Nagar,2069,2010-04-14,131,3,2,5,Normal Sale,0,1998-04-17,House,AllPub,Paved,RH,10042440
810,Chrompet,956,2014-12-23,22,1,1,3,Partial,0,2004-12-25,Commercial,NoSewr,Gravel,RH,11330100
811,Adyar,736,2011-01-04,79,1,1,2,AdjLand,1,2004-02-04,House,NoSewr,NoAccess,RH,7839405
812,Chrompet,1050,2012-10-03,198,1,1,3,Family,1,2000-03-13,House,NoSewr,Paved,RM,9993600
813,KK Nagar,2047,2008-01-03,70,3,2,5,Normal Sale,1,1979-09-03,Others,NoSeWa,Paved,RL,11992920
814,Adyar,632,2009-05-11,50,1,1,2,AbNormal,1,1989-10-11,Others,NoSeWa,Paved,RM,8899500
815,Karapakkam,871,2010-03-26,118,1,1,2,Family,0,1978-03-04,Commercial,ELO,Paved,RL,8068000
816,Adyar,811,2011-11-07,192,1,1,3,Partial,1,2005-12-07,Commercial,NoSewr,NoAccess,A,8824390
817,Adyar,1087,2009-10-11,141,1,1,3,Normal Sale,0,2004-11-11,Others,AllPub,Paved,C,8257475
818,Chrompet,1170,2009-02-17,126,1,1,3,AbNormal,1,1994-02-21,Others,NoSeWa,Gravel,RH,10250150
819,Velachery,1843,2009-03-20,149,3,2,5,Partial,0,1980-03-27,Others,ELO,Gravel,I,9635530
820,T Nagar,1783,2014-03-31,99,1,1,4,AdjLand,1,1971-11-04,Others,NoSeWa,Gravel,RH,14106600
821,Karapakkam,847,2009-10-22,39,1,1,2,Normal Sale,1,2000-10-24,Commercial,NoSewr,Paved,RH,9032750
822,Chrompet,1258,2010-09-17,78,2,1,4,Partial,0,1981-09-24,Others,ELO,NoAccess,RH,8218210
823,Karapakkam,979,2009-07-25,176,1,1,3,AdjLand,0,1993-07-29,Others,ELO,Paved,RL,7274625
824,Karapakkam,1607,2011-10-09,77,2,2,4,Partial,0,1980-09-17,Others,AllPub,Gravel,C,7404375
825,Chrompet,775,2008-12-01,127,1,1,2,Normal Sale,0,1988-01-17,Others,NoSewr,Paved,RL,7726750
826,Velachery,1830,2010-07-25,84,3,2,5,Normal Sale,0,1991-07-30,House,AllPub,Gravel,RM,11111430
827,Chrompet,961,2011-11-27,61,1,1,3,AdjLand,1,1993-01-12,House,AllPub,NoAccess,RH,8406500
828,Velachery,1925,2004-07-03,38,3,2,5,Family,0,1959-03-19,House,ELO,Gravel,C,8372550
829,KK Nagar,1301,2011-10-16,164,1,1,3,AdjLand,1,1985-10-22,Commercial,NoSeWa,Gravel,RM,13938120
830,Chrompet,1041,2014-05-21,35,1,1,3,Family,1,2002-05-24,Others,NoSeWa,Paved,RH,9197770
831,Karapakkam,1593,2010-01-02,6,2,2,4,AbNormal,1,1991-06-02,Others,NoSeWa,NoAccess,I,7993125
832,Chrompet,779,2013-12-13,42,1,1,2,Family,0,2005-12-15,Commercial,NoSewr,Gravel,RH,10189000
833,Adyar,725,2007-07-09,2,1,1,2,Normal Sale,0,2002-08-09,Others,NoSeWa,NoAccess,RM,8071375
834,KK Nagar,1717,2011-03-08,115,2,1,4,AbNormal,0,1993-07-08,Commercial,AllPub,Paved,RL,14350560
835,Adyar,1248,2010-07-27,159,2,2,4,Normal Sale,0,1991-01-08,House,AllPub,Paved,I,8739885
836,Chrompet,1223,2011-12-04,70,2,1,4,AbNormal,0,2002-04-14,House,AllPub,Gravel,RM,10501150
837,T Nagar,1925,2007-05-25,177,2,1,5,Normal Sale,1,2000-05-26,Commercial,AllPub,Gravel,RM,23667340
838,Chrompet,907,2010-05-29,5,1,1,3,AbNormal,1,1974-07-06,Others,ELO,Gravel,RM,9995590
839,Chrompet,1089,2011-08-30,29,1,1,3,Partial,0,1999-02-09,Others,NoSeWa,Gravel,RM,10000930
840,Anna Nagar,1574,2011-06-02,102,1,1,4,AbNormal,0,1985-12-02,House,NoSewr,Paved,RL,11235770
841,Karapakkam,1335,2010-11-22,89,2,2,4,Partial,1,2000-11-24,Commercial,NoSeWa,Gravel,RM,12986500
842,KK Nagar,1876,2009-04-01,50,3,2,5,Family,1,1987-10-01,Commercial,NoSewr,Gravel,RL,16527040
843,KK Nagar,2455,2011-08-23,122,4,2,6,Normal Sale,0,2006-08-24,Commercial,AllPub,Gravel,RM,20063100
844,Karapakkam,1280,2010-05-19,162,1,1,3,Normal Sale,0,2000-05-21,Others,ELO,Paved,I,6783500
